,Sumerian - Input,English - Exact,English - Predicted
319,munuszi,"the righteous woman ,","let him ,"
320,munus saga,the beautiful woman .,"the beautiful woman ,"
321,adakala,"Addakala ,",did instigate .
322,musar,"wrote ,","let him ,"
323,igiza hensa,( so that ) in your eyes he indeed pleased .,may he lift from favor .
324,bala saga,Good bala .,"bala of the bala ,"
325,urama,"Ur-amma ,",Uramma ;
326,dumu nasilim,"son of Nasilim ,",son of Nasilim .
327,mu didli ceba,"various years , barley rations ,","various years of barley rations ,"
328,ce erina,barley of the ( labor- ) troops,barley of the work-troops ;
329,u cabi suga,"and therefroms , restitutions ,","and therefroms ,"
330,nigka ceka,"accounts of barley ,","accounts , ;"
331,mu cusuen lugal urimake madarabzu enkika bindu,"year : “ By Šu-Suen , king of Ur , the boat ‘Ibex-of-Apsu’ of Enki was caulked . ”","year : “ Šu-Suen , king of Ur , Ma-dara-apsu fashioned . ”"
332,dumu nasa kurucda,"son of Nasa , the fattener ,","son of Nasa , fattener ."
333,ekur,"the Ekur ,",and the gods
334,iti X,"month : “ . . , ”",month : …
335,kicib daba gi,"sealed documents of dab , reed ,","sealed documents of reeds , labor of reeds ,"
336,ARADeb,"ARAD-eb ,","let him ,"
337,GAN urgigir cabra,"land parcel of Ur-gigir , the chief administrator ;","field of Ur-gigir , the chief household administrator ;"
338,GAN urgigir nubandagu,"land parcel of Ur-gigir , oxen manager ;","land of Ur-gigir , oxen manager ;"
339,GAN lugalgue,land parcel of Lugal-gue ;,"surface area , inspected ;"
340,gi zea gi kua u hirina zea,"reed uprooted , reed cut and hirin-weed uprooted ;","reed uprooted , leveled , and Lugal-kuzu ,"
341,aca agectina,field “ A-geština ; ”,field Muru ;
342,ugula lugirizal,foreman : Lu-giri-zal ;,"foreman : Lu-girizal ,"
343,kicib ceckala dumu dada,"under seal of Šeškalla , son of Dada ;","under seal of Šeškalla , son of Dada ;"
344,iti cunumun,month : month “ Sowing ; ”,"Month : “ Sowing ” ( ordNUMB month , Umma calendar ) ,"
345,mu enmahgalana nanna bahun,year : “ Enmaḫgalana of Nanna was installed . ”,year : “ Enmaḫgalana was installed . ”
346,lugalniglagare,"Lugal-nig-lagare ,","Lugal-nig-lagar-e ,"
347,NUMB sila lal,"NUMB sila3 date syrup ,","NUMB lamb : Ribḫuti ,"
348,NUMB amarsag uztur,"NUMB a . -ducklings ,","NUMB ( mana wool for ) Ku’e , the shepherd ,"
349,NUMB kuda,"NUMB k . ,",NUMB
350,kubi NUMB gin la NUMB,its silver : NUMB shekel NUMB ;,"its silver : NUMB ( mana ) NUMB shekels ,"
351,NUMB pecgecgi,"NUMB bandicoot rats ,","NUMB ( mana wool for ) Ku’e ,"
352,kubi NUMB ce,their silver : NUMB ( shekel ) NUMB ( ? ) grains ;,"its silver NUMB ( shekel ) NUMB grains ,"
353,NUMB amarsag uga,"NUMB a . -crow ,","NUMB : Mumu ,"
354,NUMB ku kunzi saga,"NUMB reservoir fish , fine quality ,","NUMB silver , agul , good quality ,"
355,kubi NUMB gin NUMB ce,"their silver : NUMB shekels NUMB , NUMB grains ;","its silver equivalent : NUMB shekels , NUMB grains ,"
356,nesag enlila,"“ first fruits ” of Enlil ,","by Enlil , the archivist ,"
357,kicib halulu,under seal of Ḫalulu ;,under seal of Gudea ;
358,mu e puzurdagan,year : “ Puzriš-Dagan . ”,"from the year : “ The house of Puzriš-Dagan , ”"
359,lugalezem dubsar,"Lugal-ezem , the scribe ,","Lugal-ezem , the scribe ."
360,cabra,the chief household manager .,"household manager ,"
361,hepi X,"( Royal name ) broken ,","its king … ,"
362,X,the king,… ; .
363,X puzurecdar,son of Puzur-Eštar,"… , Kimaš ,"
364,ina mahri,before,"debits , Utu ,"
365,i,the Divine River,"the Divine River ,"
366,mactaba,"the Twin Gods ,","let him ,"
367,u ictaran,"and Ištaran ,","and Nawar ,"
368,i,"The Divine River ,","the Divine River ,"
369,ictaran,"Ištaran ,","let him ,"
370,u mactaba,"and the Twin Gods ,","and Nawar ,"
371,lilqutu,may they pluck up,"let him ,"
372,adi sidarkicu,as far as his …,"debits , Utu ,"
373,kima pi X X ca ina sipar,According to the wording of an old stone stela which in Sippar,"… , in the debit account , … ,"
374,NUMB remutum X X NUMB X,"Rēmũtum , the junior scribe , ( son of ) Su-… ,","… Gudea … ,"
375,"us,abima isuh",examined and excerpted .,"debits , Utu ,"
376,ki enuga urima,the place of the watch in Ur,"from the place of Ur ,"
377,ki enugaba,This place of the watch :,"from Muru ,"
378,kiag nanna,Is the Beloved of Nanna,"the beloved of Nanna ,"
379,NUMB zi sig gur lugal,"NUMB rough flour , royal ( measure ) ,","NUMB rough-ground flour , royal ( measure ) ,"
380,NUMB dabin gur,"NUMB dabin-flour ,","NUMB , NUMB , NUMB dabin flour ,"
381,kicib uludi,under seal of Uludi ;,"under seal of Uludi ,"
382,NUMB sila dabin gur,"NUMB sila3 dabin-flour ,",NUMB sila3 semolina ;
383,kicib luninmar dumu duga,"under seal of Lu-Ninmar , son of Duga ;","under seal of Belī-azu , son of Iri-bare ,"
384,cunigin cebi NUMB sila gur,"total , its barley : NUMB sila3 ,","total , its barley : NUMB sila3 ;"
385,abi NUMB geme u NUMB,"its labor : NUMB workdays , female laborers ;","the labor : NUMB , NUMB workdays , female laborers ;"
386,NUMB ziz gur kicib lutu ugula kikken,"NUMB emmer , under seal of Lu-Utu , foremen of the mill ;","NUMB , under seal of Lu-Utu , under seal of Lu-Utu , under seal of the mill ;"
387,NUMB ce gur kicib urigalim ugula kikken,"NUMB barley , under seal of Ur-Igalim , foreman of the mill ;","NUMB , under seal of Atu , under seal of Katarni the mill ;"
388,giri luninmar dumu duga,"via Lu-Ninmar , son of Duga ;","via Ki-tušlu , son of the weavers ,"
389,kicib urnigar,under seal of Ur-nigar ;,under seal of Ur-nigar .
390,NUMB ce gur anebadu nar,"NUMB barley , Annebadu , the cantor ,","NUMB barley , interest-bearing , the width ;"
391,NUMB ce gur kicib ceckala,"NUMB barley , under seal of Šeškalla ,","NUMB barley , under seal of Šeškalla ;"
392,cunigin NUMB sila ce ziz gur,total : NUMB sila3 barley and emmer,"total : NUMB sila3 barley ,"
393,laia NUMB sila ce gur,"the deficit : NUMB sila3 barley ,",deficit : NUMB sila3 barley ;
394,laia NUMB gin la NUMB ce ku a zidaka,"the deficit : NUMB shekels NUMB grains silver , labor of flour ;","the deficit : NUMB ( mana ) NUMB shekels NUMB grains silver ,"
395,nigkak kala,account of KAla’a :,"account of Kas ,"
396,uludi dumu habanzizi,"Uludi , son of Ḫabanzizi ;","“ The daughter of Bidu , ”"
397,mu usa e puzuricdagan badu,year after : “ The house Puzris-Dagan was erected . ”,year following : “ The house of Puzriš-Dagan was erected . ”
398,lunincubur,"Lu-Ninšubur ,",( of ) Lu-Ninšubur
399,ce irisarigta,grain from Irisagrig ( ? ),"barley of Irisagrig ,"
400,ugula ala,"foreman : Alaya ,","foreman : Alla ,"
401,kicib urmes,under seal of Ur-mes ;,unders seal of Urmes ;
402,dumu ursuen,son of Ur-Suen .,son of Ur-Suen .
403,musaraba,( A person who ) this inscription,and this inscription
404,muni,and his name ( shall write on it ),and his own name
405,gurumak erina,"inspection of the worktroops ,","inspection of the ( labor- ) troops ,"
406,girisega guapina,"personnel of the plow-oxen ,","personnel of the ensis ( ? ) ,"
407,guapin etur udu namenitala,"plow-oxen , stall , rams of … ,","plow-oxen , sheep , sheep of"
408,ki cunamugita,from Šunamugi,"from Muru ,"
409,lunincubur idab,did Lu-Ninšubur accept ;,did Lu-dingira accept ;
410,giri urnigar caduba,"via Ur-nigar , chief accountant ,","via Ur-Nigar , chief household administrator ;"
411,u urbaba dubsar,"and Ur-Baba , scribe ,","and Ur-Baba , the scribe ,"
412,mu en nanna karzida bahun,"year : “ en ( -priestess ) of Nanna of Karzida was installed , ”",year : “ The high-priestess of Nanna in Karzida was hired . ”
413,X i ukim,… ukim ;,"and the Enerinnun canal ,"
414,X iduga adu,"… fine oil , Adu","… Gudea ,"
415,nubanda,the nubanda ;,"nubanda ,"
416,X luazida,… Lu-azida .,and set it apart from … for them .
417,nigkak kuc,accounts of leather,account account of
418,u kicib dababi,"and sealed documents of their dab ,","and sealed documents of Gudea ,"
419,lunamanka,"Lu-namanka ,","let him ,"
420,NUMB sila NUMB gin gu hia gur,… NUMB sila3 NUMB shekels various pulses ;,"NUMB , NUMB , NUMB , NUMB sila3 NUMB shekels of silver ,"
421,NUMB gin celu,… shekels coriander ;,"NUMB shekels ,"
422,NUMB sila gamun,… NUMB ? sila3 cumin ( ? ) ;,"NUMB sila3 of Šu-Idim ,"
423,NUMB sila NUMB gin cezibitum,… NUMB sila3 NUMB shekels še-zibītum spice ;,"NUMB sila3 NUMB shekels silver ,"
424,gu balabi NUMB sila NUMB gin,its bala pulse : NUMB ( ? ) sila3 NUMB shekels ;,"the barley : NUMB sila3 NUMB shekels ,"
425,NUMB sila NUMB gin gutur usa,"NUMB sila3 NUMB shekels roughly crushed small pulses ,","NUMB sila3 NUMB shekels of glue ,"
426,gu balabi NUMB sila,its bala pulse : NUMB sila3 ;,"the barley involved : NUMB sila3 ,"
427,NUMB sila NUMB gin gamun gaz,"NUMB ( ? ) sila3 NUMB shekels crushed cumins ,","NUMB sila3 NUMB shekels of …-oil ,"
428,gamun balabi NUMB sila NUMB gin,its bala cumin : NUMB ( ? ) sila3 NUMB shekels ;,"its cleaned : NUMB , NUMB sila3 NUMB shekels ,"
429,NUMB X X gamun,… cumin ;,"NUMB … x-rini ,"
430,NUMB cezibitum,… še-zibītum spice ;,"NUMB ( mana wool for ) Ku’e ,"
431,NUMB celu gaz,"… crushed coriander ,","NUMB : Nin-e’e ,"
432,celu balabi NUMB sila NUMB gin,its bala coriander : NUMB ( ? ) … sila3 NUMB shekels ;,"its bala , NUMB sila3 NUMB shekels ,"
433,NUMB celu,… coriander ;,"NUMB coriander ,"
434,NUMB sila NUMB gin gazi gaz,"NUMB sila3 NUMB ( ? ) shekels crushed sumac ,","NUMB lamb , NUMB shekels , “ beer-pouring ” ,"
435,gazi balabi NUMB sila NUMB gin,its bala sumac : NUMB sila3 NUMB shekels ;,"its weight : NUMB sila3 , NUMB shekels ,"
436,NUMB gin gazi,… shekels sumac ;,"NUMB shekels , released ;"
437,NUMB sila NUMB gin mun,… NUMB ? NUMB ? sila3 NUMB shekels salt ;,"NUMB sila3 NUMB shekels of silver ,"
438,X mana sig mun,… mana brick salt ;,… a … in sheepfolds
439,X X NUMB gin cezibitum,… NUMB shekels še ? -zibītum ? spice ;,"… NUMB shekels ,"
440,gamun balabi X NUMB sila,its bala cumins : … NUMB sila3 ;,"… NUMB sila3 ,"
441,NUMB sila celu gaz,"NUMB sila3 crushed coriander ,","NUMB sila3 NUMB sila3 “ pounded ” ,"
442,celu balabi NUMB sila,its bala coriander : NUMB sila3 ;,"its bala : NUMB sila3 ,"
443,NUMB sila gazi gaz,"NUMB sila3 crushed sumac ,","NUMB sila3 : Ribḫuti , the “ Ibex-of-apsû ” ,"
444,gazi balabi NUMB,its bala sumac : NUMB ;,its bala : NUMB ;
445,NUMB sila mun gur,NUMB sila3 salt ;,NUMB sila3 salt
446,NUMB sila numun zahili,( and ) NUMB sila3 cress seed ;,"NUMB lamb of poor appearance ,"
447,sadu kura,"regular provisions , cut ;",regular offerings delivered ;
448,ca urima,in/of Ur ;,in Ur ;
449,cunigin X NUMB sila X gin gu hia gur,total : … NUMB sila3 … shekels various pulses ;,total : NUMB sila3 … NUMB shekels …
450,cunigin NUMB sila X X gamun gur,total : NUMB sila3 x of cumin ;,total : NUMB sila3 … of …-ni ;
451,cunigin NUMB sila NUMB gin celu gur,total : NUMB 1ban2 NUMB sila3 NUMB shekels coriander ;,total : NUMB sila3 NUMB shekels NUMB shekels onions ;
452,cunigin NUMB X X X X gur,total : NUMB ( ? ) gur NUMB … ;,"total : NUMB … gur … ,"
453,NUMB cezibitum,NUMB of še-zibītum spice ;,"NUMB ( mana wool for ) Ku’e ,"
454,NUMB sila gamun,NUMB … NUMB sila3 cumins ;,"NUMB sila3 of Šu-Idim ,"
455,NUMB numun zahili,NUMB of cress seed ;,"NUMB Ahušuni ,"
456,NUMB sila kumul,( and ) NUMB sila3 ku-mul spice ;,"NUMB lamb : Ribḫuti ,"
457,sadu lugal,regular provisions ( for ) the king,regular offerings for the king ;
458,u ziga nigdiri,"and booked-outs , additional ,","and credits of the elder ,"
459,ca nibru,in/of Nippur ;,in Nippur ;
460,NUMB sila gugal ara,NUMB sila3 ground big pulses ;,"NUMB sila3 of ghee ,"
461,NUMB sila gutur usa,NUMB sila3 roughly crushed small pulses ;,"NUMB lamb of bread ,"
462,NUMB sila zi gugal,NUMB sila3 big pulses flour ;,"NUMB sila3 of flour ,"
463,NUMB sila gugal,NUMB sila3 big pulses ;,"NUMB sila3 of ghee ,"
464,NUMB sila gamun gaz,NUMB sila3 crushed cumin ;,"NUMB male lamb , north ,"
465,NUMB sila celu gaz,NUMB sila3 crushed coriander ;,"NUMB sila3 NUMB sila3 “ pounded ” ,"
466,NUMB sila gazi gaz,NUMB sila3 crushed sumac ;,"NUMB sila3 : Ribḫuti , the “ Ibex-of-apsû ” ,"
467,sadu ca urima,"regular provisions in/of Ur ,",regular offerings of the delivery ;
468,ziga lugal,royal withdrawal ;,booked out for the king ;
469,cunigin X gugal,total : … big pulses ;,"total : … butter oil ,"
470,cunigin NUMB sila gamun gaz,"total : NUMB sila3 crushed cumin ,","total : NUMB , NUMB sila3 , north ,"
471,gamun balabi NUMB sila,its bala cumin : NUMB sila3 ;,"its soil : NUMB sila3 ,"
472,cunigin NUMB gamun,total : NUMB cumin ;,"total : NUMB mare ,"
473,cunigin NUMB sila celu gaz gur,"total : NUMB sila3 crushed coriander ,","total : NUMB , NUMB sila3 of flour ,"
474,cunigin NUMB celu gur,total : NUMB coriander ;,"total : NUMB of coriander ,"
475,cunigin NUMB sila NUMB gin gazi gaz,"total : NUMB sila3 NUMB shekels crushed sumac ,","total : NUMB sila3 NUMB shekels , north ,"
476,cunigin NUMB gazi gur,total : NUMB sumac ;,"total : NUMB , NUMB"
477,cunigin NUMB cezibitum,total : NUMB of še-zibītum spice ;,"total : NUMB jenny ,"
478,cunigin NUMB sila ukur,total : NUMB sila3 u2-kur spice ;,"total : NUMB lamb for Šelebum ,"
479,cunigin NUMB sila numunzahili,total : NUMB sila3 cress seed ;,"total : NUMB lamb for Šelebum ,"
480,cunigin NUMB sila mun gur,total : NUMB sila3 salt ;,total : NUMB sila3 salt
481,diri X gamun NUMB,surplus : … cumin at NUMB each ;,surplus : NUMB …
482,diri NUMB sila cezibitum NUMB,surplus : … NUMB sila3 še-zibītum spice at NUMB each ;,"Surplus : NUMB sila3 bread ,"
483,diri NUMB sila NUMB gin mun NUMB gurta,"surplus : NUMB sila3 NUMB shekels salt , at NUMB each ,","Surplus : NUMB sila3 NUMB shekels , NUMB shekels each ,"
484,gubi NUMB sila NUMB gin gur,"its pulses : NUMB sila3 NUMB shekels ,","NUMB sila3 NUMB shekels ,"
485,diri laia gua,the surplus the deficit having ‘consumed’ ;,"restored , the plowman ;"
486,laia NUMB sila gu hia,"deficit : NUMB sila3 various pulses ,","deficit : NUMB sila3 of oxen ,"
487,NUMB sila NUMB gin celu,"NUMB sila3 NUMB shekels coriander ,","NUMB sila3 NUMB shekels ,"
488,NUMB sila NUMB gin gazi gur,"NUMB sila3 NUMB shekels sumac ,","NUMB sila3 NUMB shekels lard ,"
489,NUMB sila ukur,"NUMB sila3 u2-kur spice ,","NUMB lamb : Ribḫuti ,"
490,NUMB sila NUMB gin numun zahili,"NUMB sila3 NUMB shekels cress seed ,","NUMB sila3 NUMB shekels silver ,"
491,X NUMB sila NUMB gin kumul,"… NUMB sila3 NUMB shekels ku-mul spice ,","NUMB sila3 NUMB shekels ,"
492,NUMB sila zizibianum,… NUMB sila3 zizibiānum spice,"NUMB lamb : Ribḫuti ,"
493,NUMB mana sig mun,"( and ) … mana brick salt ,","NUMB mina of … šagu ,"
494,laiam,it is the deficit ;,are the deficit ;
495,nigkak mungazi,account of spices,"account of Amar-Suen ,"
496,urigalim,"( of ) Ur-Igalim ,","Ur-Igalim ,"
497,iti cesagkuta,"from month “ Harvest , ”",from the month “ Harvest ” ( on )
498,iti diri cesagkuce,"to the extra month “ Harvest , ”","to month “ Harvest , ”"
499,iti NUMB,it is NUMB months .,"( a period ) of NUMB month ,"
500,lugal kalga,the mighty man,"the mighty king ( ? ) ,"
501,lu e nanna,the man who the temple of Nanna,when the temple of Nanna
502,indua,"built ,",built .
503,niguliake pa munae,"he made an everlasting thing appear resplendently , ( namely )","and restored of Suen ,"
504,gaba abkaka,on the sea coast,on its shores :
505,kisara namgaec bisilim,in the … he restored long-distance trade to health,"tablet-lead , the trade agent"
506,ma magan cuna munigi,and returned the boats of Magan to his control .,"and the boats of Magan , to Girsu"
507,lubala,( To ) Lu-balaya :,"let him ,"
508,nurickurka,Nur-Iškur,"let him ,"
509,cu iba,has been released .,"may he did not overturned ,"
510,dumu urnigar cuc,"son of Ur-nigar , chief livestock administrator .","son of Ur-nigar , cattle manager ."
511,NUMB guruc u NUMB,NUMB laborers for NUMB days,NUMB workmen for NUMB days
512,ummata dugecikace ma su gida,"from Umma to Dugeši an empty boat towed ,","from Umma-harbor to Irisagrig barge punted ,"
513,u NUMB ce gec ea u ma siga,"for NUMB days barley threshing and in the boat loaded ,","for NUMB workdays barley into the boat loaded ,"
514,u NUMB i salac ma gida,"for NUMB day to the Salla canal boat towed ,","NUMB workdays to the “ E-anše ” barge punted ,"
515,u NUMB ce bala ce bala u gurua imura,"for NUMB days grain unloaded , grain transferred , and silo plastering ;","and NUMB workday barley transferred , barley transferred , barley transferred ;"
516,ugula urcakkan,"foreman : Ur-Šakkan ,","foreman : Muru ,"
517,kicib urcara,sealed document of Ur-Šara ;,under seal of Ur-Šara ;
518,mu en gaec bahun,year : “ The lord of Ga’eš was installed . ”,year : “ The high-priestess of Ga’eš was hired . ”
519,dumu ceckala,son of Šeškalla .,"son of Šeškalla ,"
520,kicib ra guruma,sealed documents of inspections,"under seal of Katarni ,"
521,cabrane,of the chief house administrators,of the chief household administrators
522,ab gu guba,"cows and oxen stationed ,","cows , fat-tailed sheep , stationed ,"
523,mu usa en eridu bahunga,year following : “ The en- ( priest ) of Eridu was hired . ”,"year following : “ The en ( -priest ) in Eridu was installed , ”"
524,NUMB udu bargal,"NUMB sheep with fleece ,","NUMB sheep , with fleece ,"
525,NUMB sila bargal,"NUMB lambs with fleece ,","NUMB lamb , Nada ,"
526,NUMB udu barsuga,"NUMB sheep without fleece ,",NUMB fleece-less sheep ;
527,NUMB ud mac hia,"NUMB mixed nanny and billy goats ,","NUMB nanny goats , various ,"
528,lusuen idab,Lu-Suen took ;,Lu-Suen accepted ;
529,mu NUMB sikiba geme ucbar,"NUMB years , wool rations of the female weavers ,","year : “ The female weaver ( s ) of the female weaver ( s ) ,"
530,ugula abagula,"foreman Abbagula ,",the foreman Abba-gula .
531,ugula utubae,"foreman Utu-ba’e ,","foreman : Taḫiš-atal ,"
532,ugula kuda,"foreman Kuda ,","foreman : Kuda ,"
533,u eb tuda,"and … ,","and their gardeners was born ,"
534,mu enmahgalana,year : “ Enmaḫgalana . ”,year : “ Enmaḫgalana . ”
535,urbaba,"Ur-Baba ,","Ur-Baba Ur-Baba ,"
536,dumu ureninnu,"son of Ur-Eninnu ,","son of Ur-Eninnu ,"
537,ca dugan,"in the pouch ,","in the pouches ,"
538,ekas ca girsu,"messenger house in Girsu ,","in Da-Umma , the archivist ;"
539,iti ezemdumuzika,"from month “ Festival-of-Dumuzi , ”","month “ Šu’eša , ”"
540,iti ceilace,"to month “ Barley-carried , ”","to month : “ Grain-carried , ”"
541,culgihazir,"to Šulgi-ḫazir ,","let him ,"
542,NUMB tug ucbar tur sumun,"NUMB old small “ weaver ” garments ,","NUMB garments , native aktum ,"
543,NUMB tug cagadu sumun,"NUMB old šagadu garments ,","NUMB garments , bar-si , gu2-e3 ,"
544,mu ucbar X,( for ) the … weavers ;,year “ … ” .
545,NUMB tug ucbar tur,"NUMB small “ weaver ” garments ,","NUMB “ ḪAR ” garment ( s ) ,"
546,NUMB tug ucbar zu uh,"NUMB “ weaver ” garment , moth-eaten ;","NUMB garments , native aktum garments ,"
547,mu amarsuen lugale urbilum muhul,"year : “ Amar-Suen , the king , destroyed Urbilum ; ”",year : “ Amar-Suen the king destroyed Urbilum . ”
548,kicib ikala,"under seal of Ikalla ,",under seal of Ikalla .
549,urcarake bandab,Ur-Šara assumed administrative responsibility for ( them ) .,Ur-Šara weighed .
550,urdingira,for Ur-dingira ;,Ur-dingira
551,X,for Ur-…-du,… ; .
552,anahili,for Anna-ḫili ;,Anah-ili
553,iti ezem culgi,month : “ Festival of Šulgi . ”,"month : “ The house of Šulgi , ”"
554,ig gal elamata,from the great gate of Elam,the great farmer of
555,za cucince,"to the border of Susa ,",on the shoulder of
556,lugalra,for the king,to the powerful
557,gu munagigi,they killed many cattle,"oxen , implements ,"
558,udu munagigi,and killed many sheep .,"sheep , barley-fed ,"
559,ensiensi elamake,All the governors of Elam,all the governors of Isin
560,mucen tecbi nunuz zuhzuhgin,like birds stealing eggs together,"n+1 sheep , doorman , of the debits ,"
561,nera niba munake,were themselves taking booty .,"Deficit , Utu , of the debits ,"
562,sag elam utuda,Persons born in Elam,"Aḫīma the slave he did reside ,"
563,uba X,"At that time , …","At that time , …"
564,ur cusi X,like ( ? ) a dog … paws ( ? ),but that speckled …
565,giri X,"having lain at ( his ) feet ,",via …
566,gutarla dumu gutimumara,"Gutarla , the citizen of Gutium ,","Ur-Nanše , son of Ur-Nanše ,"
567,inim anake,the word of An,to the order of the sky
568,cu numunibtag,had not touched .,"may he did not overturned ,"
569,geckim enlila,Of the signs of Enlil,", Enlil , Enlil ,"
570,name numudagal,there were none at all regarding him .,"debits , Utu ,"
571,namlugalce,For the kingship,and for my life
572,a imatu,he bathed himself .,"labor of the Suen ,"
573,aga ban X X,The crown which they had …,a tiara and crown …
574,u ane X miniIL,and he carried … there .,"and Magan , … ;"
575,ana binakbi,"For what he had done there ,","to Bāb-Mēr ,"
576,mada gutimum,the lands of Gutium,"the land of the Tigris ,"
577,simudar,and Simudar,"let him ,"
578,sigba ugnim ki banitag,planted troops there in the south .,"“ booked-outs ” of Enki ,"
579,tulium,"Tulium ,","let him ,"
580,kar magur nuzu,"the harbor which knew ( ? ) no deep-going boats ,","may he who shall not replaced out ,"
581,mete NI X,a fitting thing …,for … ;
582,X,"because of … ,",… ; .
583,nam X su X,"and because of … ,",… Madaga …
584,X urima,… in/of Ur,"the king of Ur ,"
585,zicagal X ku enlila,the encouragement of holy Enlil,"the deficit : NUMB … silver , silver ,"
586,anta X,from above …,"from above was … ,"
587,X lugalbanda X X lu muciak,… Lugalbanda … did … to the men .,… Gudea …
588,X imidare AN gi X,… was splitting ( ? ) … upward …,"… Gudea , mace , …"
589,NUMB udu X,"NUMB sheep … ,",NUMB sheep …
590,NUMB sila X,"NUMB lamb … ,","NUMB sila3 x ,"
591,ki ahunita,from Ahuni,from ( the account of ) Aḫuni
592,iti kisikininazu minkam,"month : “ ki-siki of Ninazu , ” the second ,","month “ Wool center of Ninazu , ”"
593,mu simurum lulubu ara NUMB bahul,year : “ Simurum ( and ) Lulubu for the ordNUMB time were destroyed . ”,Year : “ Simurum and Lulubu were destroyed for the ordNUMB time . ”
594,GAN kab duga,"fields , inspected ,","field of Weir-field of the porters ,"
595,cabra sangame,"of chief household administrators and chief temple administrators ,","household manager of the roof ,"
596,mu hurti bahul,year : “ Ḫurti was destroyed . ”,year : “ Ḫurti was destroyed . ”
597,a urickur,"labor of Ur-Iškur ,","labor of Ur-Iškur ,"
598,ki lugalazidata,from Lugal-azida,"from Muru ,"
599,gemenungalke,did Geme-Nungal,"let him ,"
600,u cudurul dumuni,"and Šu-durul , her son ,","and credits , his son ,"
601,igi urickur,"before Ur-Iškur ,","before : Lugal-e ,"
602,igi dumu ursuen,"before the son of Ur-Suen ,","before the hip of Ur-Suen ,"
603,igi luickur,"before Lu-Iškur ,",before Nur-ili
604,igi tulta dumu lugalhegal,"before Tulta , son of Lugal-ḫegal","before : Badudu , son of Gani ,"
605,gala badag,"there is a work loss ,","to the “ free ” ( ceremony ) ,"
606,ce NUMB silata agdam,"barley , NUMB sila3 per ( day ) will be measured out ,","hired at NUMB sila3 barley each ( workday ) ,"
607,mu lugalbi inpa,did he the royal name invoke ;,He swore by the royal name ;
608,mu magurmah enlila babdu,year : “ The Big-Barge of Enlil was caulked . ”,year : “ Great-barge of Enlil was installed ; ”
609,cutul,"Šutul ,","let him ,"
610,dumu gemenungal,son of Geme-Nungal .,son of A’anduru .
611,gemeningal,"Geme-Ningal ,","let him ,"
612,dumu bagina,son of Bagina .,"son of Ur-man ,"
613,u sagnigura,and debits,"and credits ,"
614,apa nabasata,From the side of the Nabasa canal :,on his right ( ? ) Enlila ;
615,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubit the height ,",NUMB ninda long ninda NUMB cubits long cubit ;
616,aca NUMB sar,the volume NUMB sar ;,field : NUMB sar of pear field ;
617,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubits the height ,",NUMB ninda long ninda NUMB cubits long cubit ;
618,aca NUMB sar,the volume : NUMB sar ;,field : NUMB sar of pear field ;
619,apisal X X,Apisal … ;,"in Apisal … ,"
620,aca X,the volume …,"at the field , …-new ;"
621,a X,from the side of …,"labor of Ur-dukuga ,"
622,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubit the height ;",NUMB ninda long ninda NUMB cubits long cubit ;
623,aca NUMB sar NUMB gin,"the volume NUMB sar , NUMB shekels .","field : NUMB ( volume ) sar , NUMB shekels ,"
624,e aca pirigturginDUce,For a levee in the field Pirigtur-gin-DU,per house of the field Latur ;
625,cunigin NUMB ninda gid,Total : NUMB ninda the length .,total : NUMB ninda the length ;
626,cunigin NUMB sar kin sahar u usag,Total : NUMB sar the activity for earthwork and reed bundle for barges,"total : NUMB ( volume- ) sar soil ,"
627,e aca lugalmusa gaba agectinaka,The levee of the Lugal-mussa field that is in front of A-geštin field,the dike of the field Latur is the field of manu-wood ;
628,e kisumuna gida,has been measured up to the levee of a plot with poor soil ? ;,"house of the city ,"
629,ugula sanga dumuzi u sanga ninDARa,the foremen ( are ) the chief adminstrator of ( the temple of ) Dumuzi and the chief administrator of ( the temple of ) Nin-DARa .,"( for ) the spear temple administrator of the Tarsirsira temple administrator ,"
630,mu guza enlila badim,Year : The throne of Enlil was fashioned,year : “ The throne of Enlil was fashioned ; ”
631,erin balace guba,"worktroopes to bala stationed ,","work-troops , the messenger , ( labor- ) troops ,"
632,erin kicgati,worktroops of Kišgati ( ? ),"( labor- ) troops , porters ,"
633,im laia,tablets of deficits,"tablets ,"
634,u nigkak,"and accounts ,",and accounts
635,iti paue,"year “ Pa’ue , ”",month : “ pa’u’e ; ”
636,nimintaba,"For Nimintaba ,","let him ,"
637,"culgi,",Šulgi,"let him ,"
638,giri cuecdar sagi,"via Šu-Ešdar , the cupbearer ,","via Šū-Ištar , the cowherd ."
639,bala u NUMB,"bala , the ordNUMB day ;","the bala , ordNUMB day ;"
640,mu en inanna unuga mace ipa,year : “ The high-priest of Inanna in Uruk by means of extispicy was chosen . ”,year : “ The high-priest of Inanna with extispicy was named . ”
641,cuecdar,"Šu-Ešdar ,",of Šu-ešdar ;
642,sagi,"cup-bearer ,","cupbearer ,"
643,dumu X,"son of …-du ,",son of Ur-…
