,Sumerian - Input,English - Exact,English - Predicted
333,ekur,"the Ekur ,","the lapis lazuli Ekur ,"
334,iti X,"month : “ . . , ”",month : …
335,kicib daba gi,"sealed documents of dab , reed ,","sealed documents of dab ,"
336,ARADeb,"ARAD-eb ,","Babati ,"
337,GAN urgigir cabra,"land parcel of Ur-gigir , the chief administrator ;","surface area , the chief household administrator of Ur-gigir ,"
338,GAN urgigir nubandagu,"land parcel of Ur-gigir , oxen manager ;","land of Ur-gigir , the supervisor of oxen ,"
339,GAN lugalgue,land parcel of Lugal-gue ;,“ surface ” ;
340,gi zea gi kua u hirina zea,"reed uprooted , reed cut and hirin-weed uprooted ;","reed uprooted , …"
341,aca agectina,field “ A-geština ; ”,field Muru ;
342,ugula lugirizal,foreman : Lu-giri-zal ;,"foreman : Lu-girizal ,"
343,kicib ceckala dumu dada,"under seal of Šeškalla , son of Dada ;","under seal of Šeškalla , son of Dada ;"
344,iti cunumun,month : month “ Sowing ; ”,"Month : “ Sowing ” ( ordNUMB month , Umma calendar ) ,"
345,mu enmahgalana nanna bahun,year : “ Enmaḫgalana of Nanna was installed . ”,year : “ Enmaḫgalana as priestess of Nanna was installed . ”
346,lugalniglagare,"Lugal-nig-lagare ,","Lugal-nig-lagar-e ,"
347,NUMB sila lal,"NUMB sila3 date syrup ,",NUMB lamb for …
348,NUMB amarsag uztur,"NUMB a . -ducklings ,",NUMB ( mana wool for ) Ninmu-ḫamušizu
349,NUMB kuda,"NUMB k . ,","NUMB ( mana wool for ) Kuda ,"
350,kubi NUMB gin la NUMB,its silver : NUMB shekel NUMB ;,"its silver : NUMB ( mana ) NUMB shekels ,"
351,NUMB pecgecgi,"NUMB bandicoot rats ,",NUMB ( mana wool for ) Ur-Urbartab
352,kubi NUMB ce,their silver : NUMB ( shekel ) NUMB ( ? ) grains ;,it silver : NUMB grains ;
353,NUMB amarsag uga,"NUMB a . -crow ,","NUMB , Uga ,"
354,NUMB ku kunzi saga,"NUMB reservoir fish , fine quality ,","NUMB silver , agul silver ,"
355,kubi NUMB gin NUMB ce,"their silver : NUMB shekels NUMB , NUMB grains ;",its silver : NUMB shekel NUMB grains ;
356,nesag enlila,"“ first fruits ” of Enlil ,","from Enlil ,"
357,kicib halulu,under seal of Ḫalulu ;,under seal of Da’agi ;
358,mu e puzurdagan,year : “ Puzriš-Dagan . ”,"year : “ The house of Puzriš-Dagan , ”"
359,lugalezem dubsar,"Lugal-ezem , the scribe ,","Lugal-ezem , the scribe ,"
360,cabra,the chief household manager .,"household manager ,"
361,hepi X,"( Royal name ) broken ,",…
362,X,the king,of Nun-… ;
363,X puzurecdar,son of Puzur-Eštar,"( from ) Puzur-Ešdar ,"
364,ina mahri,before,"Babati ,"
365,i,the Divine River,"the Divine River ,"
366,mactaba,"the Twin Gods ,","Babati ,"
367,u ictaran,"and Ištaran ,","and …-zi ,"
368,i,"The Divine River ,","the Divine River ,"
369,ictaran,"Ištaran ,","Babati ,"
370,u mactaba,"and the Twin Gods ,","and …-zi ,"
371,lilqutu,may they pluck up,"Babati ,"
372,adi sidarkicu,as far as his …,"Babati ,"
373,kima pi X X ca ina sipar,According to the wording of an old stone stela which in Sippar,in … ;
374,NUMB remutum X X NUMB X,"Rēmũtum , the junior scribe , ( son of ) Su-… ,",NUMB ( mana wool for ) NUMB ( ? ) . . ;
375,"us,abima isuh",examined and excerpted .,"Babati ,"
376,ki enuga urima,the place of the watch in Ur,from the prison residing ;
377,ki enugaba,This place of the watch :,from Turaya
378,kiag nanna,Is the Beloved of Nanna,"beloved by Nanna ,"
379,NUMB zi sig gur lugal,"NUMB rough flour , royal ( measure ) ,","NUMB , NUMB rough ground flour ,"
380,NUMB dabin gur,"NUMB dabin-flour ,","NUMB , NUMB , NUMB dabin flour ,"
381,kicib uludi,under seal of Uludi ;,"under seal of Uludi … ,"
382,NUMB sila dabin gur,"NUMB sila3 dabin-flour ,",NUMB sila3 semolina ;
383,kicib luninmar dumu duga,"under seal of Lu-Ninmar , son of Duga ;",under seal of Duga son of Duga ;
384,cunigin cebi NUMB sila gur,"total , its barley : NUMB sila3 ,","total , its barley : NUMB sila3 ;"
385,abi NUMB geme u NUMB,"its labor : NUMB workdays , female laborers ;","labor involved : NUMB female laborer workdays ,"
386,NUMB ziz gur kicib lutu ugula kikken,"NUMB emmer , under seal of Lu-Utu , foremen of the mill ;","NUMB ( gur ) NUMB under seal of Lu-Utu , foreman of the mill ;"
387,NUMB ce gur kicib urigalim ugula kikken,"NUMB barley , under seal of Ur-Igalim , foreman of the mill ;","NUMB barley , under seal of Ur-Igalim , foreman of the mill ;"
388,giri luninmar dumu duga,"via Lu-Ninmar , son of Duga ;","via Duga , son of Duga ;"
389,kicib urnigar,under seal of Ur-nigar ;,under seal of Ur-nigar .
390,NUMB ce gur anebadu nar,"NUMB barley , Annebadu , the cantor ,","NUMB barley of … gur … ,"
391,NUMB ce gur kicib ceckala,"NUMB barley , under seal of Šeškalla ,",NUMB barley did Šeškalla
392,cunigin NUMB sila ce ziz gur,total : NUMB sila3 barley and emmer,"total NUMB , NUMB sila barley ;"
393,laia NUMB sila ce gur,"the deficit : NUMB sila3 barley ,",deficit : NUMB sila3 barley ;
394,laia NUMB gin la NUMB ce ku a zidaka,"the deficit : NUMB shekels NUMB grains silver , labor of flour ;",the deficit : NUMB ( mana ) NUMB shekels NUMB grains silver ;
395,nigkak kala,account of KAla’a :,"account of Kalla ,"
396,uludi dumu habanzizi,"Uludi , son of Ḫabanzizi ;","to Uludi … , son of Uludi … ,"
397,mu usa e puzuricdagan badu,year after : “ The house Puzris-Dagan was erected . ”,year following : “ The house of Puzriš-Dagan was erected . ”
398,lunincubur,"Lu-Ninšubur ,",( of ) Lu-Ninšubur
399,ce irisarigta,grain from Irisagrig ( ? ),barley from Irisagrig
400,ugula ala,"foreman : Alaya ,",foreman : Alla ;
401,kicib urmes,under seal of Ur-mes ;,unders seal of Urmes ;
402,dumu ursuen,son of Ur-Suen .,"son of Ur-Suen ,"
403,musaraba,( A person who ) this inscription,and this inscription
404,muni,and his name ( shall write on it ),and his own name
405,gurumak erina,"inspection of the worktroops ,","inspection of ( labor- ) troops ,"
406,girisega guapina,"personnel of the plow-oxen ,","personnel of ensis ( ? ) ,"
407,guapin etur udu namenitala,"plow-oxen , stall , rams of … ,","plow-oxen ,"
408,ki cunamugita,from Šunamugi,from Turaya
409,lunincubur idab,did Lu-Ninšubur accept ;,"( of ) Lu-Ninšubur took ,"
410,giri urnigar caduba,"via Ur-nigar , chief accountant ,","via Ur-Nigar , chief accountant ;"
411,u urbaba dubsar,"and Ur-Baba , scribe ,","and Ur-Baba , the scribe of Ur-Baba ,"
412,mu en nanna karzida bahun,"year : “ en ( -priestess ) of Nanna of Karzida was installed , ”",year : “ The priest of Nanna of Karzida was installed . ”
413,X i ukim,… ukim ;,… canal
414,X iduga adu,"… fine oil , Adu","… Adu , Adu ,"
415,nubanda,the nubanda ;,"nubanda ,"
416,X luazida,… Lu-azida .,… nin-inimgina ( ? ) ;
417,nigkak kuc,accounts of leather,account of cubits ;
418,u kicib dababi,"and sealed documents of their dab ,",and sealed documents of conveyances
419,lunamanka,"Lu-namanka ,","Babati ,"
420,NUMB sila NUMB gin gu hia gur,… NUMB sila3 NUMB shekels various pulses ;,"NUMB lamb , NUMB shekels oxen ,"
421,NUMB gin celu,… shekels coriander ;,"NUMB shekels coriander ,"
422,NUMB sila gamun,… NUMB ? sila3 cumin ( ? ) ;,NUMB lamb of Šarru-… ;
423,NUMB sila NUMB gin cezibitum,… NUMB sila3 NUMB shekels še-zibītum spice ;,NUMB sila3 NUMB shekels …
424,gu balabi NUMB sila NUMB gin,its bala pulse : NUMB ( ? ) sila3 NUMB shekels ;,its bala : NUMB shekels ;
425,NUMB sila NUMB gin gutur usa,"NUMB sila3 NUMB shekels roughly crushed small pulses ,",NUMB sila3 NUMB shekels following :
426,gu balabi NUMB sila,its bala pulse : NUMB sila3 ;,"its bala : NUMB sila3 ,"
427,NUMB sila NUMB gin gamun gaz,"NUMB ( ? ) sila3 NUMB shekels crushed cumins ,","NUMB sila NUMB shekels of …-oil ,"
428,gamun balabi NUMB sila NUMB gin,its bala cumin : NUMB ( ? ) sila3 NUMB shekels ;,"… sila3 NUMB shekels ,"
429,NUMB X X gamun,… cumin ;,NUMB …
430,NUMB cezibitum,… še-zibītum spice ;,NUMB ( mana wool for ) Ur-Urbartab
431,NUMB celu gaz,"… crushed coriander ,","NUMB , NUMB of coriander ,"
432,celu balabi NUMB sila NUMB gin,its bala coriander : NUMB ( ? ) … sila3 NUMB shekels ;,"its bala NUMB shekels ,"
433,NUMB celu,… coriander ;,"NUMB coriander ,"
434,NUMB sila NUMB gin gazi gaz,"NUMB sila3 NUMB ( ? ) shekels crushed sumac ,","NUMB sila NUMB shekels of …-oil ,"
435,gazi balabi NUMB sila NUMB gin,its bala sumac : NUMB sila3 NUMB shekels ;,its bala : NUMB shekels ;
436,NUMB gin gazi,… shekels sumac ;,"NUMB shekels … grains of silver ,"
437,NUMB sila NUMB gin mun,… NUMB ? NUMB ? sila3 NUMB shekels salt ;,"NUMB lamb , NUMB shekels ,"
438,X mana sig mun,… mana brick salt ;,"… šagu ,"
439,X X NUMB gin cezibitum,… NUMB shekels še ? -zibītum ? spice ;,… NUMB shekel … .
440,gamun balabi X NUMB sila,its bala cumins : … NUMB sila3 ;,… its bala : NUMB sila3 :
441,NUMB sila celu gaz,"NUMB sila3 crushed coriander ,","NUMB sila “ pounded ” flour ,"
442,celu balabi NUMB sila,its bala coriander : NUMB sila3 ;,"its bala : NUMB sila3 ,"
443,NUMB sila gazi gaz,"NUMB sila3 crushed sumac ,","NUMB sila “ pounded ” flour ,"
444,gazi balabi NUMB,its bala sumac : NUMB ;,its bala : NUMB ;
445,NUMB sila mun gur,NUMB sila3 salt ;,NUMB sila3
446,NUMB sila numun zahili,( and ) NUMB sila3 cress seed ;,"NUMB lamb of seed : ( gur ) NUMB ,"
447,sadu kura,"regular provisions , cut ;",delivered ;
448,ca urima,in/of Ur ;,in Ur .
449,cunigin X NUMB sila X gin gu hia gur,total : … NUMB sila3 … shekels various pulses ;,total : NUMB sila3 NUMB shekels of oxen … ;
450,cunigin NUMB sila X X gamun gur,total : NUMB sila3 x of cumin ;,… sila3
451,cunigin NUMB sila NUMB gin celu gur,total : NUMB 1ban2 NUMB sila3 NUMB shekels coriander ;,"total : NUMB , NUMB sila3 NUMB shekels flour ,"
452,cunigin NUMB X X X X gur,total : NUMB ( ? ) gur NUMB … ;,"total : NUMB … gur … ,"
453,NUMB cezibitum,NUMB of še-zibītum spice ;,NUMB ( mana wool for ) Ur-Urbartab
454,NUMB sila gamun,NUMB … NUMB sila3 cumins ;,NUMB lamb of Šarru-… ;
455,NUMB numun zahili,NUMB of cress seed ;,"NUMB seed , field of seed , ( gur ) NUMB ,"
456,NUMB sila kumul,( and ) NUMB sila3 ku-mul spice ;,NUMB lamb for …
457,sadu lugal,regular provisions ( for ) the king,royal regular offerings ;
458,u ziga nigdiri,"and booked-outs , additional ,",and lifted outs
459,ca nibru,in/of Nippur ;,in Nippur ;
460,NUMB sila gugal ara,NUMB sila3 ground big pulses ;,NUMB lamb of Šarru-… ;
461,NUMB sila gutur usa,NUMB sila3 roughly crushed small pulses ;,NUMB lamb of Šarru-… ;
462,NUMB sila zi gugal,NUMB sila3 big pulses flour ;,"NUMB sila3 flour ,"
463,NUMB sila gugal,NUMB sila3 big pulses ;,NUMB lamb of Šarru-… ;
464,NUMB sila gamun gaz,NUMB sila3 crushed cumin ;,"NUMB sila “ pounded ” flour ,"
465,NUMB sila celu gaz,NUMB sila3 crushed coriander ;,"NUMB sila “ pounded ” flour ,"
466,NUMB sila gazi gaz,NUMB sila3 crushed sumac ;,"NUMB sila “ pounded ” flour ,"
467,sadu ca urima,"regular provisions in/of Ur ,",in Ur .
468,ziga lugal,royal withdrawal ;,booked out of the king ( ’s account ) ;
469,cunigin X gugal,total : … big pulses ;,total : NUMB
470,cunigin NUMB sila gamun gaz,"total : NUMB sila3 crushed cumin ,","together : NUMB sila “ pounded ” flour ,"
471,gamun balabi NUMB sila,its bala cumin : NUMB sila3 ;,… its bala : NUMB sila3 ;
472,cunigin NUMB gamun,total : NUMB cumin ;,total : NUMB …
473,cunigin NUMB sila celu gaz gur,"total : NUMB sila3 crushed coriander ,","total : NUMB , NUMB sila3 ,"
474,cunigin NUMB celu gur,total : NUMB coriander ;,"total : NUMB coriander ,"
475,cunigin NUMB sila NUMB gin gazi gaz,"total : NUMB sila3 NUMB shekels crushed sumac ,","together : NUMB sila NUMB shekels of naga ,"
476,cunigin NUMB gazi gur,total : NUMB sumac ;,total : NUMB … NUMB sila3 gur ;
477,cunigin NUMB cezibitum,total : NUMB of še-zibītum spice ;,total : NUMB …
478,cunigin NUMB sila ukur,total : NUMB sila3 u2-kur spice ;,total : NUMB sila3 …
479,cunigin NUMB sila numunzahili,total : NUMB sila3 cress seed ;,total : NUMB sila3 …
480,cunigin NUMB sila mun gur,total : NUMB sila3 salt ;,total : NUMB sila3 salt
481,diri X gamun NUMB,surplus : … cumin at NUMB each ;,"… labor , surplus : NUMB"
482,diri NUMB sila cezibitum NUMB,surplus : … NUMB sila3 še-zibītum spice at NUMB each ;,surplus : NUMB sila3 extra
483,diri NUMB sila NUMB gin mun NUMB gurta,"surplus : NUMB sila3 NUMB shekels salt , at NUMB each ,","surplus : NUMB sila NUMB shekels of naga ,"
484,gubi NUMB sila NUMB gin gur,"its pulses : NUMB sila3 NUMB shekels ,","NUMB , NUMB , NUMB shekels ,"
485,diri laia gua,the surplus the deficit having ‘consumed’ ;,surplus : NUMB
486,laia NUMB sila gu hia,"deficit : NUMB sila3 various pulses ,",deficit : NUMB sila3
487,NUMB sila NUMB gin celu,"NUMB sila3 NUMB shekels coriander ,","NUMB lamb , NUMB shekels of coriander ,"
488,NUMB sila NUMB gin gazi gur,"NUMB sila3 NUMB shekels sumac ,","NUMB , NUMB , NUMB , NUMB sila3 NUMB shekels flour ,"
489,NUMB sila ukur,"NUMB sila3 u2-kur spice ,",NUMB lamb for …
490,NUMB sila NUMB gin numun zahili,"NUMB sila3 NUMB shekels cress seed ,","NUMB lamb of seed : NUMB shekels of silver ,"
491,X NUMB sila NUMB gin kumul,"… NUMB sila3 NUMB shekels ku-mul spice ,",… sila3 NUMB shekel … .
492,NUMB sila zizibianum,… NUMB sila3 zizibiānum spice,NUMB lamb for …
493,NUMB mana sig mun,"( and ) … mana brick salt ,",NUMB mina of salt
494,laiam,it is the deficit ;,are the deficit .
495,nigkak mungazi,account of spices,account of Nigla’a ;
496,urigalim,"( of ) Ur-Igalim ,","Ur-Igalim ,"
497,iti cesagkuta,"from month “ Harvest , ”",from the month “ Harvest ” ( ordNUMB month )
498,iti diri cesagkuce,"to the extra month “ Harvest , ”","to month “ Harvest , ”"
499,iti NUMB,it is NUMB months .,It is ( a period of ) twelve months :
500,lugal kalga,the mighty man,"strong king ,"
501,lu e nanna,the man who the temple of Nanna,when the temple of Nanna
502,indua,"built ,",built .
503,niguliake pa munae,"he made an everlasting thing appear resplendently , ( namely )","most resplendant of of the Anuna gods ,"
504,gaba abkaka,on the sea coast,confronted him .
505,kisara namgaec bisilim,in the … he restored long-distance trade to health,for long-distance trade agents .
506,ma magan cuna munigi,and returned the boats of Magan to his control .,"and the boats of Magan ,"
507,lubala,( To ) Lu-balaya :,"Babati ,"
508,nurickurka,Nur-Iškur,"Babati ,"
509,cu iba,has been released .,—the delivered—
510,dumu urnigar cuc,"son of Ur-nigar , chief livestock administrator .","son of Ur-nigar , cattle manager ."
511,NUMB guruc u NUMB,NUMB laborers for NUMB days,"NUMB male laborer workdays ,"
512,ummata dugecikace ma su gida,"from Umma to Dugeši an empty boat towed ,","from Umma to unload ,"
513,u NUMB ce gec ea u ma siga,"for NUMB days barley threshing and in the boat loaded ,","for NUMB workday barley into the barge loaded ,"
514,u NUMB i salac ma gida,"for NUMB day to the Salla canal boat towed ,","NUMB workdays , ‘threshing’ at NUMB ( gur per day ) ;"
515,u NUMB ce bala ce bala u gurua imura,"for NUMB days grain unloaded , grain transferred , and silo plastering ;",for NUMB workday barley transferred ;
516,ugula urcakkan,"foreman : Ur-Šakkan ,",foreman : A'abba
517,kicib urcara,sealed document of Ur-Šara ;,under seal of Ur-Šara ;
518,mu en gaec bahun,year : “ The lord of Ga’eš was installed . ”,year : “ The high-priestess of Ga’eš was hired . ”
519,dumu ceckala,son of Šeškalla .,"son of Šeškalla ,"
520,kicib ra guruma,sealed documents of inspections,"under seal of Belī-azu ,"
521,cabrane,of the chief house administrators,of the chief household administrators
522,ab gu guba,"cows and oxen stationed ,","oxen cows , stationed ,"
523,mu usa en eridu bahunga,year following : “ The en- ( priest ) of Eridu was hired . ”,"year following : “ The en ( -priest ) in Eridu was installed , ”"
524,NUMB udu bargal,"NUMB sheep with fleece ,","NUMB sheep , with fleece ,"
525,NUMB sila bargal,"NUMB lambs with fleece ,","NUMB lamb , with fleece ,"
526,NUMB udu barsuga,"NUMB sheep without fleece ,",NUMB fleece-less sheep ;
527,NUMB ud mac hia,"NUMB mixed nanny and billy goats ,","NUMB various doe goats ,"
528,lusuen idab,Lu-Suen took ;,Lu-Suen accepted ;
529,mu NUMB sikiba geme ucbar,"NUMB years , wool rations of the female weavers ,","NUMB , wool rations of the female weaver ,"
530,ugula abagula,"foreman Abbagula ,",the foreman Abba-gula .
531,ugula utubae,"foreman Utu-ba’e ,",foreman : Utu-ba’e ;
532,ugula kuda,"foreman Kuda ,",foreman : Kuda ;
533,u eb tuda,"and … ,","and born ,"
534,mu enmahgalana,year : “ Enmaḫgalana . ”,Year : “ Enmahgalana was installed ” .
535,urbaba,"Ur-Baba ,","Ur-Baba ,"
536,dumu ureninnu,"son of Ur-Eninnu ,","son of Ur-Eninnu ,"
537,ca dugan,"in the pouch ,","in the pouches credits ,"
538,ekas ca girsu,"messenger house in Girsu ,",in Girsu
539,iti ezemdumuzika,"from month “ Festival-of-Dumuzi , ”","Month : “ nesag offering , ”"
540,iti ceilace,"to month “ Barley-carried , ”","to month “ Barley-lifted , ”"
541,culgihazir,"to Šulgi-ḫazir ,","Babati ,"
542,NUMB tug ucbar tur sumun,"NUMB old small “ weaver ” garments ,","NUMB old sickles ,"
543,NUMB tug cagadu sumun,"NUMB old šagadu garments ,","NUMB old sickles ,"
544,mu ucbar X,( for ) the … weavers ;,year “ … ” .
545,NUMB tug ucbar tur,"NUMB small “ weaver ” garments ,","NUMB weaver garments ,"
546,NUMB tug ucbar zu uh,"NUMB “ weaver ” garment , moth-eaten ;","NUMB “ ušbar ” garment ( s ) ,"
547,mu amarsuen lugale urbilum muhul,"year : “ Amar-Suen , the king , destroyed Urbilum ; ”",year : “ xxx . ”
548,kicib ikala,"under seal of Ikalla ,",under seal of Ikalla .
549,urcarake bandab,Ur-Šara assumed administrative responsibility for ( them ) .,to Ur-Sara
550,urdingira,for Ur-dingira ;,"Ur-dingira ,"
551,X,for Ur-…-du,of Nun-… ;
552,anahili,for Anna-ḫili ;,Anah-ili
553,iti ezem culgi,month : “ Festival of Šulgi . ”,"from the month “ Sowing ” ( ordNUMB month , Umma calendar )"
554,ig gal elamata,from the great gate of Elam,to great farmer
555,za cucince,"to the border of Susa ,",from the border of
556,lugalra,for the king,to the king or the
557,gu munagigi,they killed many cattle,"oxen to Apilum ,"
558,udu munagigi,and killed many sheep .,"sheep , …"
559,ensiensi elamake,All the governors of Elam,all the governors
560,mucen tecbi nunuz zuhzuhgin,like birds stealing eggs together,for
561,nera niba munake,were themselves taking booty .,"Babati ,"
562,sag elam utuda,Persons born in Elam,"new-borns in the sheephouse ,"
563,uba X,"At that time , …","At that time , … warrior . ."
564,ur cusi X,like ( ? ) a dog … paws ( ? ),but the father-in-law
565,giri X,"having lain at ( his ) feet ,",via …
566,gutarla dumu gutimumara,"Gutarla , the citizen of Gutium ,","son of … ,"
567,inim anake,the word of An,all the quarters of the sky
568,cu numunibtag,had not touched .,—the delivered—
569,geckim enlila,Of the signs of Enlil,"the mighty king ,"
570,name numudagal,there were none at all regarding him .,"Babati ,"
571,namlugalce,For the kingship,and the kingship
572,a imatu,he bathed himself .,dedicate this .
573,aga ban X X,The crown which they had …,A just royal ban2
574,u ane X miniIL,and he carried … there .,When An
575,ana binakbi,"For what he had done there ,","the trusted NUMB of An ,"
576,mada gutimum,the lands of Gutium,the lands of Zabšali
577,simudar,and Simudar,"Babati ,"
578,sigba ugnim ki banitag,planted troops there in the south .,"from Ugnim ,"
579,tulium,"Tulium ,","Babati ,"
580,kar magur nuzu,"the harbor which knew ( ? ) no deep-going boats ,","A younger sister should share the inheritance of the estate ,"
581,mete NI X,a fitting thing …,for … ;
582,X,"because of … ,",of Nun-… ;
583,nam X su X,"and because of … ,","curse he … ,"
584,X urima,… in/of Ur,… of Ur
585,zicagal X ku enlila,the encouragement of holy Enlil,… for Enlil ;
586,anta X,from above …,"from above was … ,"
587,X lugalbanda X X lu muciak,… Lugalbanda … did … to the men .,… for Lugalbanda
588,X imidare AN gi X,… was splitting ( ? ) … upward …,PN
589,NUMB udu X,"NUMB sheep … ,",NUMB sheep …
590,NUMB sila X,"NUMB lamb … ,",NUMB lamb for …
591,ki ahunita,from Ahuni,from ( the account of ) Aḫuni
592,iti kisikininazu minkam,"month : “ ki-siki of Ninazu , ” the second ,",month “ kisiki-Ninazu ; ”
593,mu simurum lulubu ara NUMB bahul,year : “ Simurum ( and ) Lulubu for the ordNUMB time were destroyed . ”,year : “ Simurum Lulubu for the ordNUMB time were destroyed . ”
594,GAN kab duga,"fields , inspected ,","field area : Duga ,"
595,cabra sangame,"of chief household administrators and chief temple administrators ,",( for ) the šabra ( and ) sanga administrators ;
596,mu hurti bahul,year : “ Ḫurti was destroyed . ”,year : “ Ḫurti were destroyed . ”
597,a urickur,"labor of Ur-Iškur ,","labor of Ur-Iškur ,"
598,ki lugalazidata,from Lugal-azida,from Turaya
599,gemenungalke,did Geme-Nungal,"Babati ,"
600,u cudurul dumuni,"and Šu-durul , her son ,","and Puzrum-Ninkarke ,"
601,igi urickur,"before Ur-Iškur ,",before : Ur-Iškur .
602,igi dumu ursuen,"before the son of Ur-Suen ,","before : Ur-Suen , the son of Ur-Suen ,"
603,igi luickur,"before Lu-Iškur ,",before : Muru ;
604,igi tulta dumu lugalhegal,"before Tulta , son of Lugal-ḫegal","before : Tulta ,"
605,gala badag,"there is a work loss ,",to
606,ce NUMB silata agdam,"barley , NUMB sila3 per ( day ) will be measured out ,",( for ) NUMB sila3 barley each ( day ) will be … ;
607,mu lugalbi inpa,did he the royal name invoke ;,the royal name he invoked ;
608,mu magurmah enlila babdu,year : “ The Big-Barge of Enlil was caulked . ”,year : “ Great-barge was fashioned ; ”
609,cutul,"Šutul ,","Babati ,"
610,dumu gemenungal,son of Geme-Nungal .,son of Geme-Nungal
611,gemeningal,"Geme-Ningal ,","Babati ,"
612,dumu bagina,son of Bagina .,"son of Šū-Adda ,"
613,u sagnigura,and debits,debits and debits of
614,apa nabasata,From the side of the Nabasa canal :,for Nabasa ;
615,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubit the height ,",NUMB ninda NUMB cubits the length ;
616,aca NUMB sar,the volume NUMB sar ;,field : NUMB sar ;
617,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubits the height ,",NUMB ninda NUMB cubits the length ;
618,aca NUMB sar,the volume : NUMB sar ;,field : NUMB sar ;
619,apisal X X,Apisal … ;,in Apisal …
620,aca X,the volume …,"field Bur… ,"
621,a X,from the side of …,"labor of Ur-dukuga ,"
622,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubit the height ;",NUMB ninda NUMB cubits the length ;
623,aca NUMB sar NUMB gin,"the volume NUMB sar , NUMB shekels .","field : NUMB sar NUMB shekels ,"
624,e aca pirigturginDUce,For a levee in the field Pirigtur-gin-DU,field Hillock-of-plantoil ;
625,cunigin NUMB ninda gid,Total : NUMB ninda the length .,total : NUMB ninda long without ( work to be done ) ;
626,cunigin NUMB sar kin sahar u usag,Total : NUMB sar the activity for earthwork and reed bundle for barges,total : NUMB ( volume- ) sar soil ;
627,e aca lugalmusa gaba agectinaka,The levee of the Lugal-mussa field that is in front of A-geštin field,field up against … ;
628,e kisumuna gida,has been measured up to the levee of a plot with poor soil ? ;,long house
629,ugula sanga dumuzi u sanga ninDARa,the foremen ( are ) the chief adminstrator of ( the temple of ) Dumuzi and the chief administrator of ( the temple of ) Nin-DARa .,"foremen , temple administrator and Dumuzi ,"
630,mu guza enlila badim,Year : The throne of Enlil was fashioned,year : “ The throne of Enlil was crafted . ”
631,erin balace guba,"worktroopes to bala stationed ,",( for ) the work-troops sitting out the corvée duty
632,erin kicgati,worktroops of Kišgati ( ? ),"( labor- ) troops , head-plows , of"
633,im laia,tablets of deficits,"tablets , debts of tablets"
634,u nigkak,"and accounts ,",and accounts
635,iti paue,"year “ Pa’ue , ”","month “ Pa’ue , ”"
636,nimintaba,"For Nimintaba ,","Babati ,"
637,"culgi,",Šulgi,"Babati ,"
638,giri cuecdar sagi,"via Šu-Ešdar , the cupbearer ,","via Šū-Ištar ,"
639,bala u NUMB,"bala , the ordNUMB day ;",for NUMB workday barge unloaded ;
640,mu en inanna unuga mace ipa,year : “ The high-priest of Inanna in Uruk by means of extispicy was chosen . ”,year : “ The high-priest of Inanna with extispicy was named . ”
641,cuecdar,"Šu-Ešdar ,",of Šu-ešdar ;
642,sagi,"cup-bearer ,",cupbearer .
643,dumu X,"son of …-du ,",son of Ur-…
644,ecucuma,"house of consignments ,",house-of-receipt
645,ucbar X,"weavers , Lu-… ,","weavers ,"
646,e ucbar egal,"house of weavers of the palace ,","in the palace ,"
647,u e ucbar nindingir,and house of weavers of the priestess,and of the household of the priestess
648,baba,"of Baba ,",To Baba
649,luinimnigsaga,"Lu-inimnigsaga ,","Babati ,"
650,cuera,"Šu-Erra ,",( for ) Šu-Erra ;
651,muhaldim lugal,"royal cook ,","king of the cook Uršu ,"
652,dumu zakili,"son of Zak-ilī ,","son of Šū-Adda ,"
653,NUMB uztur,"NUMB duck ,",NUMB ( mana wool for ) Ur-Urbartab
654,NUMB ir,"NUMB pigeon ,",NUMB ( mana wool for ) Ur-Urbartab
655,NUMB tugur,"NUMB dove ,",NUMB of tug-sag work norm
656,NUMB cahNEturnitagecgi,"NUMB male piglet , canebrake type ,",NUMB ( mana wool for ) Ur-Urbartab
657,nigu ningace,for food of my queen ;,"Babati ,"
658,egala banku,brought to the palace ;,"into the palace brought ,"
659,itita u NUMB bazal,of the month the ordNUMB day passed ;,"of the month day NUMB elapsed ,"
660,urlugaledina,of Ur-Lugaledina ( ’s account ) ;,"Babati ,"
661,iti kisiki ninazu,"month : “ ki-siki-of-Ninazu , ”",month : “ ki-siki of Nin-azu ; ”
662,babara X,"Babara … ,",…
663,dumu X,"son of Lu-… ,",son of Ur-…
664,kicib ce ziga,"sealed documents , grain , credits ,","under seal of barley ,"
665,nurickur,"to Nūr-Adda ,","Nūr-Adda ,"
666,sadu cara cupalil,"regular offering for Šara … ,",regular offerings of Šara ;
667,guedinata,from Gu-edina,from Gu’ednina
668,ki egalesita,from Egalesi,from Turaya
669,hala cu bati,did Ḫala receive ;,Ikunum received ;
670,iti nesagce,"to the month “ First-fruit offering , ”",through the month “ nesag sacrifice ” >> .
671,mu usa cacru bahul,year after : “ Šašru was destroyed . ”,year following : “ Šašru was destroyed . ”
672,hala,"Ḫala ,","for oxen distributed ,"
