,Sumerian - Input,English - Exact,English - Predicted
322,musar,"wrote ,","say ,"
323,igiza hensa,( so that ) in your eyes he indeed pleased .,he strewed like seeds .
324,bala saga,Good bala .,"bala of good bala ,"
325,urama,"Ur-amma ,",Uramma ;
326,dumu nasilim,"son of Nasilim ,",son of Nasilim .
327,mu didli ceba,"various years , barley rations ,","various years , various ,"
328,ce erina,barley of the ( labor- ) troops,barley of the work-troops ;
329,u cabi suga,"and therefroms , restitutions ,","and therefroms , restitutions ,"
330,nigka ceka,"accounts of barley ,","accounts of soil ,"
331,mu cusuen lugal urimake madarabzu enkika bindu,"year : “ By Šu-Suen , king of Ur , the boat ‘Ibex-of-Apsu’ of Enki was caulked . ”","year : “ Šu-Suen , king of Ur , Ma-dara-apsu fashioned . ”"
332,dumu nasa kurucda,"son of Nasa , the fattener ,","son of Nasa , fattener ."
333,ekur,"the Ekur ,",and the kingship
334,iti X,"month : “ . . , ”","month “ … , ”"
335,kicib daba gi,"sealed documents of dab , reed ,","sealed documents of conveyances of Lugal-me’a ,"
336,ARADeb,"ARAD-eb ,","say ,"
337,GAN urgigir cabra,"land parcel of Ur-gigir , the chief administrator ;","fields , the chief household administrator ,"
338,GAN urgigir nubandagu,"land parcel of Ur-gigir , oxen manager ;","land of Ur-gigir , oxen manager ;"
339,GAN lugalgue,land parcel of Lugal-gue ;,field Hillock-of-Šara ;
340,gi zea gi kua u hirina zea,"reed uprooted , reed cut and hirin-weed uprooted ;","read of reed , staying and lapis plants offerings punted ,"
341,aca agectina,field “ A-geština ; ”,field Akišaḫ ;
342,ugula lugirizal,foreman : Lu-giri-zal ;,"foreman : Lu-girizal ,"
343,kicib ceckala dumu dada,"under seal of Šeškalla , son of Dada ;",under seal of Šeškalla son of Dada ;
344,iti cunumun,month : month “ Sowing ; ”,month : “ Sowing ; ”
345,mu enmahgalana nanna bahun,year : “ Enmaḫgalana of Nanna was installed . ”,"year : “ Enmaḫgalana , en was installed . ”"
346,lugalniglagare,"Lugal-nig-lagare ,","Lugal-nig-lagar-e ,"
347,NUMB sila lal,"NUMB sila3 date syrup ,","NUMB lamb of Ṣelli-Šulgi ,"
348,NUMB amarsag uztur,"NUMB a . -ducklings ,","NUMB foot-stool of fig-tree trees ,"
349,NUMB kuda,"NUMB k . ,",NUMB ( workman ) : Lu-Damu .
350,kubi NUMB gin la NUMB,its silver : NUMB shekel NUMB ;,its silver : NUMB ( mana ) NUMB shekels NUMB
351,NUMB pecgecgi,"NUMB bandicoot rats ,","NUMB PAda ,"
352,kubi NUMB ce,their silver : NUMB ( shekel ) NUMB ( ? ) grains ;,it silver : NUMB grains ;
353,NUMB amarsag uga,"NUMB a . -crow ,","NUMB foot-stool of tamarisk ,"
354,NUMB ku kunzi saga,"NUMB reservoir fish , fine quality ,","NUMB silver of good quality ,"
355,kubi NUMB gin NUMB ce,"their silver : NUMB shekels NUMB , NUMB grains ;",its silver : NUMB shekel NUMB grains ;
356,nesag enlila,"“ first fruits ” of Enlil ,","and Anshan ,"
357,kicib halulu,under seal of Ḫalulu ;,"under seal of Aramu ,"
358,mu e puzurdagan,year : “ Puzriš-Dagan . ”,"year : “ The house of Puzriš-Dagan , ”"
359,lugalezem dubsar,"Lugal-ezem , the scribe ,","Lugal-ezem , the scribe ;"
360,cabra,the chief household manager .,"household manager ,"
361,hepi X,"( Royal name ) broken ,",the god …
362,X,the king,"Ur-Gal-… ,"
363,X puzurecdar,son of Puzur-Eštar,"… , Utu-Lagaš-gal ,"
364,ina mahri,before,"x-agazi ,"
365,i,the Divine River,"the Divine River ,"
366,mactaba,"the Twin Gods ,","say ,"
367,u ictaran,"and Ištaran ,",and Puzrum-Ninkarke
368,i,"The Divine River ,","the Divine River ,"
369,ictaran,"Ištaran ,","say ,"
370,u mactaba,"and the Twin Gods ,",and Puzrum-Ninkarke
371,lilqutu,may they pluck up,"say ,"
372,adi sidarkicu,as far as his …,"x-agazi ,"
373,kima pi X X ca ina sipar,According to the wording of an old stone stela which in Sippar,"… , … , at the basket of Auda heart ,"
374,NUMB remutum X X NUMB X,"Rēmũtum , the junior scribe , ( son of ) Su-… ,",… NUMB …
375,"us,abima isuh",examined and excerpted .,"x-agazi ,"
376,ki enuga urima,the place of the watch in Ur,"in Ur ,"
377,ki enugaba,This place of the watch :,"from Ur-Ḫalmuša ,"
378,kiag nanna,Is the Beloved of Nanna,"beloved by Nanna ,"
379,NUMB zi sig gur lugal,"NUMB rough flour , royal ( measure ) ,","NUMB rough ground flour ,"
380,NUMB dabin gur,"NUMB dabin-flour ,","NUMB , NUMB , NUMB dabin flour ,"
381,kicib uludi,under seal of Uludi ;,"under seal of Ur-kigula ,"
382,NUMB sila dabin gur,"NUMB sila3 dabin-flour ,","NUMB sila3 barley flour ,"
383,kicib luninmar dumu duga,"under seal of Lu-Ninmar , son of Duga ;","NUMB ( gur ) Lugal-girizal , son of Adaga ;"
384,cunigin cebi NUMB sila gur,"total , its barley : NUMB sila3 ,","total , its barley : NUMB sila3 ;"
385,abi NUMB geme u NUMB,"its labor : NUMB workdays , female laborers ;","the labor : NUMB , NUMB workdays , female laborers ;"
386,NUMB ziz gur kicib lutu ugula kikken,"NUMB emmer , under seal of Lu-Utu , foremen of the mill ;","NUMB emmer , foreman : Imid-Ištar , foreman of the runners ;"
387,NUMB ce gur kicib urigalim ugula kikken,"NUMB barley , under seal of Ur-Igalim , foreman of the mill ;","NUMB barley , under seal of Ur-bagara , foreman of Lu-saga ;"
388,giri luninmar dumu duga,"via Lu-Ninmar , son of Duga ;","via Nur-Adad , son of the queen ;"
389,kicib urnigar,under seal of Ur-nigar ;,under seal of Ur-nigar .
390,NUMB ce gur anebadu nar,"NUMB barley , Annebadu , the cantor ,","NUMB barley , deficit of the runners ;"
391,NUMB ce gur kicib ceckala,"NUMB barley , under seal of Šeškalla ,","NUMB barley , under seal of Šeškalla ,"
392,cunigin NUMB sila ce ziz gur,total : NUMB sila3 barley and emmer,total NUMB ban NUMB sila emmer ;
393,laia NUMB sila ce gur,"the deficit : NUMB sila3 barley ,",deficit : NUMB sila3 barley ;
394,laia NUMB gin la NUMB ce ku a zidaka,"the deficit : NUMB shekels NUMB grains silver , labor of flour ;","the deficit : NUMB shekels NUMB grains silver ,"
395,nigkak kala,account of KAla’a :,"accounts of the fields ,"
396,uludi dumu habanzizi,"Uludi , son of Ḫabanzizi ;","son of Ur-kigula , son of Baya ;"
397,mu usa e puzuricdagan badu,year after : “ The house Puzris-Dagan was erected . ”,year following : “ The house of Puzriš-Dagan was built . ”
398,lunincubur,"Lu-Ninšubur ,",of Lu-Ninšubur
399,ce irisarigta,grain from Irisagrig ( ? ),"in barley exchanged ,"
400,ugula ala,"foreman : Alaya ,",foreman : Alla ;
401,kicib urmes,under seal of Ur-mes ;,unders seal of Urmes ;
402,dumu ursuen,son of Ur-Suen .,"son of Ur-Suen ,"
403,musaraba,( A person who ) this inscription,and this inscription
404,muni,and his name ( shall write on it ),and his own name
405,gurumak erina,"inspection of the worktroops ,","inspection of the ( labor- ) troops ,"
406,girisega guapina,"personnel of the plow-oxen ,",personnel of the inscriptions
407,guapin etur udu namenitala,"plow-oxen , stall , rams of … ,","plow-oxen , sheep , sheep of the mašdaria-delivery ,"
408,ki cunamugita,from Šunamugi,"from Ur-Ḫalmuša ,"
409,lunincubur idab,did Lu-Ninšubur accept ;,of Lu-Ninšubur accepted ;
410,giri urnigar caduba,"via Ur-nigar , chief accountant ,","via Ur-nigar , cattle manager ;"
411,u urbaba dubsar,"and Ur-Baba , scribe ,","and Ur-Baba , the scribe ;"
412,mu en nanna karzida bahun,"year : “ en ( -priestess ) of Nanna of Karzida was installed , ”",year : “ The high-priestess of Nanna in Karzida was hired . ”
413,X i ukim,… ukim ;,"… counted ,"
414,X iduga adu,"… fine oil , Adu","… Adda-kal , the scribe ;"
415,nubanda,the nubanda ;,the overseer
416,X luazida,… Lu-azida .,"…-la , Abarnum ,"
417,nigkak kuc,accounts of leather,account of the NUMB herder .
418,u kicib dababi,"and sealed documents of their dab ,",and sealed tablets of Habamu
419,lunamanka,"Lu-namanka ,","say ,"
420,NUMB sila NUMB gin gu hia gur,… NUMB sila3 NUMB shekels various pulses ;,"NUMB sila3 NUMB shekels of ox ,"
421,NUMB gin celu,… shekels coriander ;,"NUMB shekels ,"
422,NUMB sila gamun,… NUMB ? sila3 cumin ( ? ) ;,"NUMB sila3 ghee ,"
423,NUMB sila NUMB gin cezibitum,… NUMB sila3 NUMB shekels še-zibītum spice ;,NUMB sila3 NUMB shekels of tallow ;
424,gu balabi NUMB sila NUMB gin,its bala pulse : NUMB ( ? ) sila3 NUMB shekels ;,"the bala : NUMB various oxen , NUMB shekels ,"
425,NUMB sila NUMB gin gutur usa,"NUMB sila3 NUMB shekels roughly crushed small pulses ,","NUMB lambs NUMB shekels NUMB shekels each ,"
426,gu balabi NUMB sila,its bala pulse : NUMB sila3 ;,"the bala , NUMB sila ,"
427,NUMB sila NUMB gin gamun gaz,"NUMB ( ? ) sila3 NUMB shekels crushed cumins ,","NUMB sila3 NUMB shekels ES-bitumen ,"
428,gamun balabi NUMB sila NUMB gin,its bala cumin : NUMB ( ? ) sila3 NUMB shekels ;,the workmen : NUMB shekels ;
429,NUMB X X gamun,… cumin ;,… NUMB . . ;
430,NUMB cezibitum,… še-zibītum spice ;,"NUMB PAda ,"
431,NUMB celu gaz,"… crushed coriander ,","NUMB fine of coriander ,"
432,celu balabi NUMB sila NUMB gin,its bala coriander : NUMB ( ? ) … sila3 NUMB shekels ;,"its bala : NUMB sila3 NUMB shekels ,"
433,NUMB celu,… coriander ;,"NUMB , NUMB of coriander ,"
434,NUMB sila NUMB gin gazi gaz,"NUMB sila3 NUMB ( ? ) shekels crushed sumac ,","NUMB sila3 NUMB shekels of pickaxing , “ old ” ,"
435,gazi balabi NUMB sila NUMB gin,its bala sumac : NUMB sila3 NUMB shekels ;,"its bala : NUMB sila3 NUMB shekels ,"
436,NUMB gin gazi,… shekels sumac ;,NUMB shekels of suhe ;
437,NUMB sila NUMB gin mun,… NUMB ? NUMB ? sila3 NUMB shekels salt ;,"NUMB sila3 NUMB shekels of oil ,"
438,X mana sig mun,… mana brick salt ;,… NUMB …
439,X X NUMB gin cezibitum,… NUMB shekels še ? -zibītum ? spice ;,… NUMB shekels …
440,gamun balabi X NUMB sila,its bala cumins : … NUMB sila3 ;,"its bala : NUMB sila3 ,"
441,NUMB sila celu gaz,"NUMB sila3 crushed coriander ,","NUMB sila3 ES-bitumen ,"
442,celu balabi NUMB sila,its bala coriander : NUMB sila3 ;,"its bala : NUMB sila3 ,"
443,NUMB sila gazi gaz,"NUMB sila3 crushed sumac ,","NUMB lambs of kašk-cheese , “ beer-pouring ” ,"
444,gazi balabi NUMB,its bala sumac : NUMB ;,its bala : NUMB ;
445,NUMB sila mun gur,NUMB sila3 salt ;,"NUMB sila3 spelt ,"
446,NUMB sila numun zahili,( and ) NUMB sila3 cress seed ;,"NUMB lambs of kašk-cheese ,"
447,sadu kura,"regular provisions , cut ;","regular offerings of the palace ,"
448,ca urima,in/of Ur ;,in Ur .
449,cunigin X NUMB sila X gin gu hia gur,total : … NUMB sila3 … shekels various pulses ;,"total : NUMB sila3 beer , NUMB sila3 beer ,"
450,cunigin NUMB sila X X gamun gur,total : NUMB sila3 x of cumin ;,"total : NUMB sila3 , NUMB ,"
451,cunigin NUMB sila NUMB gin celu gur,total : NUMB 1ban2 NUMB sila3 NUMB shekels coriander ;,"total : NUMB sila3 , NUMB shekels ,"
452,cunigin NUMB X X X X gur,total : NUMB ( ? ) gur NUMB … ;,"total : … total : NUMB ,"
453,NUMB cezibitum,NUMB of še-zibītum spice ;,"NUMB PAda ,"
454,NUMB sila gamun,NUMB … NUMB sila3 cumins ;,"NUMB sila3 ghee ,"
455,NUMB numun zahili,NUMB of cress seed ;,"NUMB piglet , ša3-ga-du3 ,"
456,NUMB sila kumul,( and ) NUMB sila3 ku-mul spice ;,"NUMB lamb of Ṣelli-Šulgi ,"
457,sadu lugal,regular provisions ( for ) the king,regular offerings of the king ;
458,u ziga nigdiri,"and booked-outs , additional ,","and credits of the NUMB elder women ,"
459,ca nibru,in/of Nippur ;,in Nippur ;
460,NUMB sila gugal ara,NUMB sila3 ground big pulses ;,"NUMB sila3 fine sesame seeds ,"
461,NUMB sila gutur usa,NUMB sila3 roughly crushed small pulses ;,"NUMB male lambs ( from ) Geštinana-ama-lugal , the following ,"
462,NUMB sila zi gugal,NUMB sila3 big pulses flour ;,"NUMB sila3 good flour ,"
463,NUMB sila gugal,NUMB sila3 big pulses ;,NUMB lamb of Burmama ;
464,NUMB sila gamun gaz,NUMB sila3 crushed cumin ;,"NUMB sila3 ES-bitumen ,"
465,NUMB sila celu gaz,NUMB sila3 crushed coriander ;,"NUMB sila3 ES-bitumen ,"
466,NUMB sila gazi gaz,NUMB sila3 crushed sumac ;,"NUMB lambs of kašk-cheese , “ beer-pouring ” ,"
467,sadu ca urima,"regular provisions in/of Ur ,","regular regular ration in Ur ,"
468,ziga lugal,royal withdrawal ;,booked out for the king ;
469,cunigin X gugal,total : … big pulses ;,"total of Nin-ura ,"
470,cunigin NUMB sila gamun gaz,"total : NUMB sila3 crushed cumin ,","total : NUMB sila3 ES-bitumen ,"
471,gamun balabi NUMB sila,its bala cumin : NUMB sila3 ;,"the bala : NUMB sila3 ,"
472,cunigin NUMB gamun,total : NUMB cumin ;,"total : NUMB shekels oil ,"
473,cunigin NUMB sila celu gaz gur,"total : NUMB sila3 crushed coriander ,","total : NUMB ban NUMB sila eša flour ,"
474,cunigin NUMB celu gur,total : NUMB coriander ;,"total : NUMB sesame oil ,"
475,cunigin NUMB sila NUMB gin gazi gaz,"total : NUMB sila3 NUMB shekels crushed sumac ,","together : NUMB sila3 NUMB shekels of raisins ,"
476,cunigin NUMB gazi gur,total : NUMB sumac ;,"total : NUMB stallion ,"
477,cunigin NUMB cezibitum,total : NUMB of še-zibītum spice ;,"total : NUMB stallion ,"
478,cunigin NUMB sila ukur,total : NUMB sila3 u2-kur spice ;,"total : NUMB sila3 of Ṣelli-Šulgi ,"
479,cunigin NUMB sila numunzahili,total : NUMB sila3 cress seed ;,"total : NUMB sila3 of Ṣelli-Šulgi ,"
480,cunigin NUMB sila mun gur,total : NUMB sila3 salt ;,"total : NUMB sila3 big-cheese ,"
481,diri X gamun NUMB,surplus : … cumin at NUMB each ;,"surplus : NUMB … ,"
482,diri NUMB sila cezibitum NUMB,surplus : … NUMB sila3 še-zibītum spice at NUMB each ;,"surplus : NUMB sila of Ṣelli-Šulgi ,"
483,diri NUMB sila NUMB gin mun NUMB gurta,"surplus : NUMB sila3 NUMB shekels salt , at NUMB each ,","surplus : NUMB sila NUMB shekels each , each NUMB each ;"
484,gubi NUMB sila NUMB gin gur,"its pulses : NUMB sila3 NUMB shekels ,","NUMB sila3 , NUMB shekels ,"
485,diri laia gua,the surplus the deficit having ‘consumed’ ;,"surplus of the ( labor- ) troops , manager ,"
486,laia NUMB sila gu hia,"deficit : NUMB sila3 various pulses ,","deficit : NUMB male lamb , sucking ,"
487,NUMB sila NUMB gin celu,"NUMB sila3 NUMB shekels coriander ,","NUMB sila3 NUMB shekels of suhe ,"
488,NUMB sila NUMB gin gazi gur,"NUMB sila3 NUMB shekels sumac ,","NUMB sila3 NUMB shekels each ,"
489,NUMB sila ukur,"NUMB sila3 u2-kur spice ,","NUMB lamb of Ṣelli-Šulgi ,"
490,NUMB sila NUMB gin numun zahili,"NUMB sila3 NUMB shekels cress seed ,","NUMB sila3 NUMB shekels of Hunum , of the fishermen ,"
491,X NUMB sila NUMB gin kumul,"… NUMB sila3 NUMB shekels ku-mul spice ,",… sila3 NUMB shekels oil ;
492,NUMB sila zizibianum,… NUMB sila3 zizibiānum spice,"NUMB lamb of Ṣelli-Šulgi ,"
493,NUMB mana sig mun,"( and ) … mana brick salt ,","… NUMB mina of bronze ,"
494,laiam,it is the deficit ;,deficit ;
495,nigkak mungazi,account of spices,"accounts of the inscriptions ,"
496,urigalim,"( of ) Ur-Igalim ,","Ur-Igalim ,"
497,iti cesagkuta,"from month “ Harvest , ”",from month “ Harvest ”
498,iti diri cesagkuce,"to the extra month “ Harvest , ”","to extra month “ Harvest , ”"
499,iti NUMB,it is NUMB months .,NUMB months .
500,lugal kalga,the mighty man,"mighty king ,"
501,lu e nanna,the man who the temple of Nanna,the person who the temple of Nanna
502,indua,"built ,",built .
503,niguliake pa munae,"he made an everlasting thing appear resplendently , ( namely )","those made them ,"
504,gaba abkaka,on the sea coast,the god of Lamazatum ;
505,kisara namgaec bisilim,in the … he restored long-distance trade to health,"To the depot of inscribed … ,"
506,ma magan cuna munigi,and returned the boats of Magan to his control .,the boat to the depot of the transversal village
507,lubala,( To ) Lu-balaya :,"say ,"
508,nurickurka,Nur-Iškur,"say ,"
509,cu iba,has been released .,"shall unto distant times ,"
510,dumu urnigar cuc,"son of Ur-nigar , chief livestock administrator .","son of Ur-nigar , cattle manager ."
511,NUMB guruc u NUMB,NUMB laborers for NUMB days,NUMB male laborers for NUMB day
512,ummata dugecikace ma su gida,"from Umma to Dugeši an empty boat towed ,","from Apisal to Irisagrig barge punted ,"
513,u NUMB ce gec ea u ma siga,"for NUMB days barley threshing and in the boat loaded ,","NUMB workday barley , interest-bearing , barge to the river and barge returned ;"
514,u NUMB i salac ma gida,"for NUMB day to the Salla canal boat towed ,","ordNUMB day , in the small helpers"
515,u NUMB ce bala ce bala u gurua imura,"for NUMB days grain unloaded , grain transferred , and silo plastering ;","in E-amara flour transferred , grain of the bala workday ( and ) barley transferred ,"
516,ugula urcakkan,"foreman : Ur-Šakkan ,",foreman : Dudumu
517,kicib urcara,sealed document of Ur-Šara ;,under seal of Ur-Šara ;
518,mu en gaec bahun,year : “ The lord of Ga’eš was installed . ”,year : “ The high-priestess of Ga’eš was hired . ”
519,dumu ceckala,son of Šeškalla .,"son of Šeškalla ,"
520,kicib ra guruma,sealed documents of inspections,"sealed tablet of Enki ,"
521,cabrane,of the chief house administrators,of the chief household administrators
522,ab gu guba,"cows and oxen stationed ,","cows of oxen stationed ,"
523,mu usa en eridu bahunga,year following : “ The en- ( priest ) of Eridu was hired . ”,"year following : “ The en ( -priest ) in Eridu was installed , ”"
524,NUMB udu bargal,"NUMB sheep with fleece ,","NUMB long-fleeced sheep ,"
525,NUMB sila bargal,"NUMB lambs with fleece ,","NUMB lambs of Errēšum ,"
526,NUMB udu barsuga,"NUMB sheep without fleece ,",NUMB fleece-less sheep ;
527,NUMB ud mac hia,"NUMB mixed nanny and billy goats ,","NUMB nanny goat , various ,"
528,lusuen idab,Lu-Suen took ;,did Beli-zu accept ;
529,mu NUMB sikiba geme ucbar,"NUMB years , wool rations of the female weavers ,","fodder of the female weaver ( s ) of the female weaver ( s ) ,"
530,ugula abagula,"foreman Abbagula ,",the foreman Abba-gula .
531,ugula utubae,"foreman Utu-ba’e ,",foreman : Dukra ;
532,ugula kuda,"foreman Kuda ,",foreman : lugal-Niginše ;
533,u eb tuda,"and … ,",and his embankment
534,mu enmahgalana,year : “ Enmaḫgalana . ”,"year : “ Enmaḫgalana , ”"
535,urbaba,"Ur-Baba ,","Ur-Baba ,"
536,dumu ureninnu,"son of Ur-Eninnu ,","son of Ur-Eninnu ,"
537,ca dugan,"in the pouch ,","in the granary ,"
538,ekas ca girsu,"messenger house in Girsu ,",at Girsu .
539,iti ezemdumuzika,"from month “ Festival-of-Dumuzi , ”","month “ Gazelle-Feast , ”"
540,iti ceilace,"to month “ Barley-carried , ”","to month “ Barley-lifted , ”"
541,culgihazir,"to Šulgi-ḫazir ,","say ,"
542,NUMB tug ucbar tur sumun,"NUMB old small “ weaver ” garments ,","NUMB “ ušbar ” garments ( s ) ,"
543,NUMB tug cagadu sumun,"NUMB old šagadu garments ,","NUMB garments , soft , gu2-e3 ,"
544,mu ucbar X,( for ) the … weavers ;,"year : “ En-amgal of … , ”"
545,NUMB tug ucbar tur,"NUMB small “ weaver ” garments ,",NUMB “ ušbar ” garment s .
546,NUMB tug ucbar zu uh,"NUMB “ weaver ” garment , moth-eaten ;","NUMB “ ušbar ” garments ,"
547,mu amarsuen lugale urbilum muhul,"year : “ Amar-Suen , the king , destroyed Urbilum ; ”","year : “ Amar-Suen , the king , Urbilum destoyed . ”"
548,kicib ikala,"under seal of Ikalla ,",under seal of Ikalla ;
549,urcarake bandab,Ur-Šara assumed administrative responsibility for ( them ) .,Ur-Šara weighed .
550,urdingira,for Ur-dingira ;,Zubaga
551,X,for Ur-…-du,"Ur-Gal-… ,"
552,anahili,for Anna-ḫili ;,Anah-ili
553,iti ezem culgi,month : “ Festival of Šulgi . ”,"month “ Akitu , ” Šulgi ,"
554,ig gal elamata,from the great gate of Elam,"the Iturungal canal ,"
555,za cucince,"to the border of Susa ,",on the shoulder of left
556,lugalra,for the king,but the River
557,gu munagigi,they killed many cattle,"oxen of the Euphrates ,"
558,udu munagigi,and killed many sheep .,"sheep , distribution ,"
559,ensiensi elamake,All the governors of Elam,"all the furrows clods Ana-ḫili ,"
560,mucen tecbi nunuz zuhzuhgin,like birds stealing eggs together,"its meat of Zabala , … ,"
561,nera niba munake,were themselves taking booty .,"Nig-ul-pa’e , apples ,"
562,sag elam utuda,Persons born in Elam,"has committed murder , repayments ,"
563,uba X,"At that time , …","At that time … ,"
564,ur cusi X,like ( ? ) a dog … paws ( ? ),the whole …
565,giri X,"having lain at ( his ) feet ,","via …-Baba ,"
566,gutarla dumu gutimumara,"Gutarla , the citizen of Gutium ,","NUMB daughter of Zakīma ,"
567,inim anake,the word of An,"by the command of Kimaš ,"
568,cu numunibtag,had not touched .,"shall unto distant times ,"
569,geckim enlila,Of the signs of Enlil,"the trusted of Enlil ,"
570,name numudagal,there were none at all regarding him .,"x-agazi ,"
571,namlugalce,For the kingship,for the life
572,a imatu,he bathed himself .,"labor of wintertime ,"
573,aga ban X X,The crown which they had …,"crown , the silver ,"
574,u ane X miniIL,and he carried … there .,"… , Mukiš , … ,"
575,ana binakbi,"For what he had done there ,","x-agazi ,"
576,mada gutimum,the lands of Gutium,"the lands of Sippar ,"
577,simudar,and Simudar,"say ,"
578,sigba ugnim ki banitag,planted troops there in the south .,"Tirmium , from the dogs ,"
579,tulium,"Tulium ,","say ,"
580,kar magur nuzu,"the harbor which knew ( ? ) no deep-going boats ,","Abilatum , the runner ;"
581,mete NI X,a fitting thing …,for E’e … ;
582,X,"because of … ,","Ur-Gal-… ,"
583,nam X su X,"and because of … ,",… for … for them .
584,X urima,… in/of Ur,… of Ur
585,zicagal X ku enlila,the encouragement of holy Enlil,"the Tidnumites , the silver of Enlil ,"
586,anta X,from above …,"from above was … ,"
587,X lugalbanda X X lu muciak,… Lugalbanda … did … to the men .,"… for Marḫuni of … ,"
588,X imidare AN gi X,… was splitting ( ? ) … upward …,"… , boat-builders , … ,"
589,NUMB udu X,"NUMB sheep … ,",NUMB sheep …
590,NUMB sila X,"NUMB lamb … ,",NUMB lamb of Šarru-… ;
591,ki ahunita,from Ahuni,from ( the account of ) Aḫuni
592,iti kisikininazu minkam,"month : “ ki-siki of Ninazu , ” the second ,",month : “ ki-siki of Ninazu . ”
593,mu simurum lulubu ara NUMB bahul,year : “ Simurum ( and ) Lulubu for the ordNUMB time were destroyed . ”,year : “ Simurum Lulubu for the ordNUMB time were destroyed . ”
594,GAN kab duga,"fields , inspected ,",at the field Booted-oxen ;
595,cabra sangame,"of chief household administrators and chief temple administrators ,","manager of Nin-ḫursag ,"
596,mu hurti bahul,year : “ Ḫurti was destroyed . ”,year : “ Ḫurti was destroyed . ”
597,a urickur,"labor of Ur-Iškur ,","labor of Ša-kuge ,"
598,ki lugalazidata,from Lugal-azida,"from Ur-Ḫalmuša ,"
599,gemenungalke,did Geme-Nungal,"say ,"
600,u cudurul dumuni,"and Šu-durul , her son ,","and Geme-Enlil , his son ,"
601,igi urickur,"before Ur-Iškur ,","before : Dingir-saga ,"
602,igi dumu ursuen,"before the son of Ur-Suen ,","before : Badudu , the child of Nanše ;"
603,igi luickur,"before Lu-Iškur ,",before Šu-Mama .
604,igi tulta dumu lugalhegal,"before Tulta , son of Lugal-ḫegal","before : Badudu , son of messengers ."
605,gala badag,"there is a work loss ,","to the striking … ,"
606,ce NUMB silata agdam,"barley , NUMB sila3 per ( day ) will be measured out ,","NUMB sila3 of Ṣelli-Šulgi ,"
607,mu lugalbi inpa,did he the royal name invoke ;,the royal name he invoked ;
608,mu magurmah enlila babdu,year : “ The Big-Barge of Enlil was caulked . ”,year : “ Great-barge of Enlil was built . ”
609,cutul,"Šutul ,","say ,"
610,dumu gemenungal,son of Geme-Nungal .,son of Iddaya
611,gemeningal,"Geme-Ningal ,","say ,"
612,dumu bagina,son of Bagina .,"son of Luba ,"
613,u sagnigura,and debits,and Gu’edina
614,apa nabasata,From the side of the Nabasa canal :,š .
615,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubit the height ,","NUMB ninda long …-hides , NUMB cubits per width ;"
616,aca NUMB sar,the volume NUMB sar ;,field : NUMB surface ;
617,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubits the height ,","NUMB ninda long …-hides , NUMB cubits per width ;"
618,aca NUMB sar,the volume : NUMB sar ;,field : NUMB surface ;
619,apisal X X,Apisal … ;,"Apisal , … ,"
620,aca X,the volume …,"at the field , … ;"
621,a X,from the side of …,"labor of Ur-dukuga ,"
622,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"NUMB ninda the length , NUMB cubit the width , NUMB cubit the height ;","NUMB ninda long …-hides , NUMB cubits per width ;"
623,aca NUMB sar NUMB gin,"the volume NUMB sar , NUMB shekels .",per …
624,e aca pirigturginDUce,For a levee in the field Pirigtur-gin-DU,"leveled , the field Abagal-Enlil ;"
625,cunigin NUMB ninda gid,Total : NUMB ninda the length .,"together : NUMB fine ninda ,"
626,cunigin NUMB sar kin sahar u usag,Total : NUMB sar the activity for earthwork and reed bundle for barges,"total : “ NENEgar ” … ,"
627,e aca lugalmusa gaba agectinaka,The levee of the Lugal-mussa field that is in front of A-geštin field,the dike to the field facing done ;
628,e kisumuna gida,has been measured up to the levee of a plot with poor soil ? ;,"the house of Narunte ,"
629,ugula sanga dumuzi u sanga ninDARa,the foremen ( are ) the chief adminstrator of ( the temple of ) Dumuzi and the chief administrator of ( the temple of ) Nin-DARa .,foremen : “ in the household of Dumuzi and the household manager of Dumuzi Dumuzi ;
630,mu guza enlila badim,Year : The throne of Enlil was fashioned,year : “ The throne of Enlil was fashioned ; ”
631,erin balace guba,"worktroopes to bala stationed ,",work-troops of the governor of Inanna-gal ;
632,erin kicgati,worktroops of Kišgati ( ? ),"work-troops of the bala ,"
633,im laia,tablets of deficits,"wet tablets , deficit ."
634,u nigkak,"and accounts ,",and account of
635,iti paue,"year “ Pa’ue , ”","month “ Pa’ue , ”"
636,nimintaba,"For Nimintaba ,","say ,"
637,"culgi,",Šulgi,"say ,"
638,giri cuecdar sagi,"via Šu-Ešdar , the cupbearer ,","via Dayya , cupbearer ,"
639,bala u NUMB,"bala , the ordNUMB day ;","ordNUMB day ,"
640,mu en inanna unuga mace ipa,year : “ The high-priest of Inanna in Uruk by means of extispicy was chosen . ”,year : “ The high-priest of Inanna of Uruk was named . ”
641,cuecdar,"Šu-Ešdar ,",of Šu-ešdar ;
642,sagi,"cup-bearer ,","cupbearer ,"
643,dumu X,"son of …-du ,",son of Lugal-… .
644,ecucuma,"house of consignments ,","the house of consignments ,"
645,ucbar X,"weavers , Lu-… ,","weavers … ,"
